feature,left,right,count
loc_match,0.0,0.05,3369
loc_match,0.05,0.1,0
loc_match,0.1,0.15000000000000002,0
loc_match,0.15000000000000002,0.2,0
loc_match,0.2,0.25,0
loc_match,0.25,0.30000000000000004,0
loc_match,0.30000000000000004,0.35000000000000003,0
loc_match,0.35000000000000003,0.4,0
loc_match,0.4,0.45,0
loc_match,0.45,0.5,0
loc_match,0.5,0.55,0
loc_match,0.55,0.6000000000000001,0
loc_match,0.6000000000000001,0.65,0
loc_match,0.65,0.7000000000000001,0
loc_match,0.7000000000000001,0.75,0
loc_match,0.75,0.8,0
loc_match,0.8,0.8500000000000001,0
loc_match,0.8500000000000001,0.9,0
loc_match,0.9,0.9500000000000001,0
loc_match,0.9500000000000001,1.0,1111
skill_iou,0.0,0.016666666666666666,4353
skill_iou,0.016666666666666666,0.03333333333333333,0
skill_iou,0.03333333333333333,0.05,11
skill_iou,0.05,0.06666666666666667,14
skill_iou,0.06666666666666667,0.08333333333333333,18
skill_iou,0.08333333333333333,0.1,17
skill_iou,0.1,0.11666666666666667,25
skill_iou,0.11666666666666667,0.13333333333333333,12
skill_iou,0.13333333333333333,0.15,7
skill_iou,0.15,0.16666666666666666,2
skill_iou,0.16666666666666666,0.18333333333333332,12
skill_iou,0.18333333333333332,0.2,0
skill_iou,0.2,0.21666666666666667,6
skill_iou,0.21666666666666667,0.23333333333333334,1
skill_iou,0.23333333333333334,0.25,0
skill_iou,0.25,0.26666666666666666,1
skill_iou,0.26666666666666666,0.2833333333333333,0
skill_iou,0.2833333333333333,0.3,0
skill_iou,0.3,0.31666666666666665,0
skill_iou,0.31666666666666665,0.3333333333333333,1
required_skill_match_ratio,0.0,0.02,4353
required_skill_match_ratio,0.02,0.04,0
required_skill_match_ratio,0.04,0.06,12
required_skill_match_ratio,0.06,0.08,0
required_skill_match_ratio,0.08,0.1,9
required_skill_match_ratio,0.1,0.12,12
required_skill_match_ratio,0.12,0.14,25
required_skill_match_ratio,0.14,0.16,6
required_skill_match_ratio,0.16,0.18,19
required_skill_match_ratio,0.18,0.2,0
required_skill_match_ratio,0.2,0.22,23
required_skill_match_ratio,0.22,0.24,2
required_skill_match_ratio,0.24,0.26,10
required_skill_match_ratio,0.26,0.28,0
required_skill_match_ratio,0.28,0.3,0
required_skill_match_ratio,0.3,0.32,0
required_skill_match_ratio,0.32,0.34,7
required_skill_match_ratio,0.34,0.36,0
required_skill_match_ratio,0.36,0.38,0
required_skill_match_ratio,0.38,0.4,2
missing_required_skill_ratio,0.0,0.05,140
missing_required_skill_ratio,0.05,0.1,0
missing_required_skill_ratio,0.1,0.15000000000000002,0
missing_required_skill_ratio,0.15000000000000002,0.2,0
missing_required_skill_ratio,0.2,0.25,0
missing_required_skill_ratio,0.25,0.30000000000000004,0
missing_required_skill_ratio,0.30000000000000004,0.35000000000000003,0
missing_required_skill_ratio,0.35000000000000003,0.4,0
missing_required_skill_ratio,0.4,0.45,0
missing_required_skill_ratio,0.45,0.5,0
missing_required_skill_ratio,0.5,0.55,0
missing_required_skill_ratio,0.55,0.6000000000000001,2
missing_required_skill_ratio,0.6000000000000001,0.65,0
missing_required_skill_ratio,0.65,0.7000000000000001,7
missing_required_skill_ratio,0.7000000000000001,0.75,0
missing_required_skill_ratio,0.75,0.8,12
missing_required_skill_ratio,0.8,0.8500000000000001,42
missing_required_skill_ratio,0.8500000000000001,0.9,32
missing_required_skill_ratio,0.9,0.9500000000000001,32
missing_required_skill_ratio,0.9500000000000001,1.0,4213
exp_score,0.00012340980408667956,0.050117239313882345,1595
exp_score,0.050117239313882345,0.10011106882367801,83
exp_score,0.10011106882367801,0.15010489833347368,610
exp_score,0.15010489833347368,0.20009872784326935,0
exp_score,0.20009872784326935,0.250092557353065,0
exp_score,0.250092557353065,0.3000863868628607,0
exp_score,0.3000863868628607,0.35008021637265635,0
exp_score,0.35008021637265635,0.40007404588245205,25
exp_score,0.40007404588245205,0.45006787539224774,61
exp_score,0.45006787539224774,0.5000617049020434,0
exp_score,0.5000617049020434,0.550055534411839,278
exp_score,0.550055534411839,0.6000493639216347,0
exp_score,0.6000493639216347,0.6500431934314304,0
exp_score,0.6500431934314304,0.7000370229412259,23
exp_score,0.7000370229412259,0.7500308524510216,0
exp_score,0.7500308524510216,0.8000246819608173,0
exp_score,0.8000246819608173,0.850018511470613,0
exp_score,0.850018511470613,0.9000123409804087,0
exp_score,0.9000123409804087,0.9500061704902043,0
exp_score,0.9500061704902043,1.0,1805
role_match,0.0,0.05,3020
role_match,0.05,0.1,735
role_match,0.1,0.15000000000000002,327
role_match,0.15000000000000002,0.2,154
role_match,0.2,0.25,103
role_match,0.25,0.30000000000000004,32
role_match,0.30000000000000004,0.35000000000000003,34
role_match,0.35000000000000003,0.4,15
role_match,0.4,0.45,11
role_match,0.45,0.5,3
role_match,0.5,0.55,10
role_match,0.55,0.6000000000000001,8
role_match,0.6000000000000001,0.65,4
role_match,0.65,0.7000000000000001,3
role_match,0.7000000000000001,0.75,4
role_match,0.75,0.8,2
role_match,0.8,0.8500000000000001,3
role_match,0.8500000000000001,0.9,4
role_match,0.9,0.9500000000000001,2
role_match,0.9500000000000001,1.0,6
desc_sem_sim,0.0,0.03190785991944575,367
desc_sem_sim,0.03190785991944575,0.0638157198388915,85
desc_sem_sim,0.0638157198388915,0.09572357975833726,218
desc_sem_sim,0.09572357975833726,0.127631439677783,422
desc_sem_sim,0.127631439677783,0.15953929959722876,610
desc_sem_sim,0.15953929959722876,0.19144715951667451,728
desc_sem_sim,0.19144715951667451,0.22335501943612027,735
desc_sem_sim,0.22335501943612027,0.255262879355566,565
desc_sem_sim,0.255262879355566,0.2871707392750118,375
desc_sem_sim,0.2871707392750118,0.3190785991944575,193
desc_sem_sim,0.3190785991944575,0.35098645911390325,97
desc_sem_sim,0.35098645911390325,0.38289431903334903,56
desc_sem_sim,0.38289431903334903,0.4148021789527948,17
desc_sem_sim,0.4148021789527948,0.44671003887224053,8
desc_sem_sim,0.44671003887224053,0.47861789879168626,1
desc_sem_sim,0.47861789879168626,0.510525758711132,1
desc_sem_sim,0.510525758711132,0.5424336186305778,1
desc_sem_sim,0.5424336186305778,0.5743414785500236,0
desc_sem_sim,0.5743414785500236,0.6062493384694693,0
desc_sem_sim,0.6062493384694693,0.638157198388915,1
experience_gap,0.0,0.45,1805
experience_gap,0.45,0.9,0
experience_gap,0.9,1.35,0
experience_gap,1.35,1.8,0
experience_gap,1.8,2.25,911
experience_gap,2.25,2.7,0
experience_gap,2.7,3.15,0
experience_gap,3.15,3.6,0
experience_gap,3.6,4.05,973
experience_gap,4.05,4.5,0
experience_gap,4.5,4.95,0
experience_gap,4.95,5.4,25
experience_gap,5.4,5.8500000000000005,0
experience_gap,5.8500000000000005,6.3,0
experience_gap,6.3,6.75,0
experience_gap,6.75,7.2,83
experience_gap,7.2,7.65,0
experience_gap,7.65,8.1,0
experience_gap,8.1,8.55,0
experience_gap,8.55,9.0,683
