job_id,cand_id,lf_skill,lf_sem,lf_exp,lf_role,lf_loc,y_prob
JOB_00,CV_044,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_047,-1,0,1,-1,-1,0.7392104299313632
JOB_00,CV_004,1,1,1,0,1,0.9938973981992373
JOB_00,CV_055,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_026,0,0,1,0,1,0.9909111581409155
JOB_00,CV_064,-1,1,1,0,1,0.9909111581409155
JOB_00,CV_073,0,1,1,0,1,0.9925513658320195
JOB_00,CV_010,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_040,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_107,0,0,1,0,-1,0.8244029762987993
JOB_00,CV_018,1,0,1,0,1,0.9925513658320195
JOB_00,CV_062,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_011,-1,1,1,-1,-1,0.7760057395865282
JOB_00,CV_036,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_089,1,1,1,0,-1,0.875207551880179
JOB_00,CV_091,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_109,1,-1,1,1,-1,0.8687323344441251
JOB_00,CV_000,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_088,0,1,1,-1,-1,0.8089512745610968
JOB_00,CV_104,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_065,-1,1,1,-1,-1,0.7760057395865282
JOB_00,CV_045,-1,1,1,0,-1,0.8244029762987993
JOB_00,CV_031,-1,1,1,0,-1,0.8244029762987993
JOB_00,CV_070,0,1,1,0,1,0.9925513658320195
JOB_00,CV_042,0,0,1,0,-1,0.8244029762987993
JOB_00,CV_012,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_015,1,0,1,-1,-1,0.8089512745610968
JOB_00,CV_114,-1,1,1,0,-1,0.8244029762987993
JOB_00,CV_076,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_097,1,1,1,0,-1,0.875207551880179
JOB_00,CV_024,-1,1,1,-1,-1,0.7760057395865282
JOB_00,CV_078,-1,0,1,0,1,0.9889138067848836
JOB_00,CV_022,0,1,1,0,-1,0.8515915098330731
JOB_00,CV_096,-1,1,1,0,-1,0.8244029762987993
JOB_00,CV_056,1,1,1,0,-1,0.875207551880179
JOB_00,CV_110,1,0,1,0,-1,0.8515915098330731
